filepath,filename,category,text_length,total_skills,skills_found,skills_frequency,top_skills,education_info,cgpa,percentage,num_education,has_education,has_marks
../DATA/data/ACCOUNTANT/10554236.pdf,10554236.pdf,Accountant,24299,3,"communication, aws, excel","{""communication"": 2, ""aws"": 1, ""excel"": 1}","communication, aws, excel","E | d | u | c | a | t | i | o | n |   | | |   | N | o | r | t | h | e | r | n |   | M | a | i | n | e |   | C | o | m | m | u | n | i | t | y |   | C | o | l | l | e | g | e |   | | |   | G | P | A | : |   | | |   | G | P | A | : |   | 3 | . | 4 | 1 |   | | |   | A | c | c | o | u | n | t | i | n | g |   | G | P | A | : |   | 3 | . | 4 | 1 |   | 1 | 7 | 4 |   | H | o | u | r | s | , |   | Q | u | a | r | t | e | r |   | | |   | A | t | t | e | n | d | e | d |   | H | u | s | s | o | n |   | C | o | l | l | e | g | e | , |   | m | a | j | o | r |   | A | c | c | o | u | n | t | i | n | g |   | 7 | 8 |   | s | e | m | e | s | t | e | r |   | h | o | u | r | s |   | t | o | w | a | r | d |   | B | a | c | h | e | l | o | r | s |   | d | e | g | r | e | e | .",,,192,1,0
../DATA/data/ACCOUNTANT/10674770.pdf,10674770.pdf,Accountant,7568,2,"excel, problem solving","{""excel"": 6, ""problem solving"": 1}","excel, problem solving",E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | N | o | r | t | h |   | C | a | r | o | l | i | n | a |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e,,,84,1,0
../DATA/data/ACCOUNTANT/11163645.pdf,11163645.pdf,Accountant,4839,2,"communication, excel","{""communication"": 4, ""excel"": 4}","communication, excel","E | d | u | c | a | t | i | o | n |   | | |   | M | a | r | t | i | n | e | z |   | A | d | u | l | t |   | E | d | u | c | a | t | i | o | n | , |   | B | u | s | i | n | e | s | s |   | T | r | a | i | n | i | n | g |   | C | e | n | t | e | r",,,62,1,0
../DATA/data/ACCOUNTANT/11759079.pdf,11759079.pdf,Accountant,5987,1,excel,"{""excel"": 2}",excel,"E | d | u | c | a | t | i | o | n |   | | |   | E | M | O | R | Y |   | U | N | I | V | E | R | S | I | T | Y | , |   | G | o | i | z | u | e | t | a |   | B | u | s | i | n | e | s | s |   | S | c | h | o | o | l |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | G | P | A | : |   | | |   | G | P | A | : |   | 3 | . | 6 | 3 | / | 4 | . | 0 |   | | |   | G | P | A | : |   | 3 | . | 7 | 7 | / | 4 | . | 0 |   | | |   | A | c | c | o | u | n | t | i | n | g |   | G | P | A | : |   | 3 | . | 6 | 3 | / | 4 | . | 0 |   | G | P | A | : |   | 3 | . | 7 | 7 | / | 4 | . | 0 |   | | |   | G | i | v | e | n |   | a | n | n | u | a | l | l | y |   | b | y |   | v | o | t | e |   | o | f |   | E | m | o | r | y |   | U | n | i | v | e | r | s | i | t | y |   | P | r | o | f | e | s | s | o | r | s |   | t | o |   | r | e | c | o | g | n | i | z | e |   | t | h | e |   | t | o | p |   | p | e | r | f | o | r | m | i | n | g |   | s | e | n | i | o | r |   | y | e | a | r |   | s | t | u | d | e | n | t |   | i | n |   | a | c | a | d | e | m | i | a | , |   | c | o | m | m | u | n | i | t | y |   | | |   | h | i | g | h | e | s | t |   | p | e | r | f | o | r | m | i | n | g |   | j | u | n | i | o | r |   | y | e | a | r |   | a | c | c | o | u | n | t | i | n | g |   | s | t | u | d | e | n | t |   | a | t |   | E | m | o | r | y |   | U | n | i | v | e | r | s | i | t | y | .",,,376,1,0
../DATA/data/ACCOUNTANT/12065211.pdf,12065211.pdf,Accountant,5623,3,"communication, sql, excel","{""communication"": 2, ""sql"": 1, ""excel"": 1}","communication, sql, excel","E | s | t | a | b | l | i | s | h |   | m | a | s | t | e | r |   | e | m | p | l | o | y | e | e |   | p | a | y | r | o | l | l |   | r | e | c | o | r | d |   | f | i | l | e |   | f | o | r |   | i | n | f | o | r | m | a | t | i | o | n |   | e | n | t | r | y |   | i | n | t | o |   | p | a | y | r | o | l | l |   | s | y | s | t | e | m | . |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | T | E | M | P | L | E |   | U | N | I | V | E | R | S | I | T | Y |   | | |   | A | c | t | i | v | i | t | i | e | s | : |   | V | i | c | e |   | P | r | e | s | i | d | e | n | t | , |   | A | P | S |   | ( | A | c | c | o | u | n | t | i | n | g |   | P | r | o | f | e | s | s | i | o | n | a | l |   | S | o | c | i | e | t | y | ) |   | a | t |   | T | e | m | p | l | e |   | U | n | i | v | e | r | s | i | t | y | , |   | 2 | 0 | 0 | 1 |   | - |   | 2 | 0 | 0 | 2",,,260,1,0
../DATA/data/ACCOUNTANT/12202337.pdf,12202337.pdf,Accountant,5302,4,"excel, communication, statistics, problem solving","{""excel"": 5, ""communication"": 2, ""statistics"": 1, ""problem solving"": 1}","excel, communication, statistics, problem solving","* |   | B | u | s | i | n | e | s | s |   | O | b | j | e | c | t | s | , |   | L | o | m | b | a | r | d | i | , |   | E | a | g | l | e |   | A | c | c | o | u | n | t | i | n | g |   | S | y | s | t | e | m | , |   | P | E | G | A | , |   | D | R | A | S | , |   | W | o | r | k | b | e | n | c | h | . |   | | |   | P | o | s | i | t | i | o | n | s |   | u | s | i | n | g |   | E | a | g | l | e | , |   | I | A | X | , |   | B | u | s | i | n | e | s | s |   | O | b | j | e | c | t | s | , |   | L | o | m | b | a | r | d | i |   | a | n | d |   | W | o | r | k | b | e | n | c | h |   | R | e | p | o | r | t | s |   | C | o | m | m | u | n | i | c | a | t | e | d |   | a | n | d |   | C | o | l | l | a | b | o | r | a | t | e | d |   | w | i | t | h |   | o | t | h | e | r |   | a | r | e | a | s |   | i | n |   | t | h | e |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | M | a | s | t | e | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | D | e | l | a | w | a | r | e |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | D | e | l | a | w | a | r | e |   | | |   | C | o | m | p | a | n | y |   | P | l | a | t | f | o | r | m | s | : |   | B | u | s | i | n | e | s | s |   | O | b | j | e | c | t | s | , |   | W | o | r | k | b | e | n | c | h | , |   | E | a | g | l | e | , |   | P | e | g | a | , |   | L | o | m | b | a | r | d | i | , |   | D | R | A | S | .",,,409,1,0
../DATA/data/ACCOUNTANT/12338274.pdf,12338274.pdf,Accountant,5960,1,excel,"{""excel"": 1}",excel,E | d | u | c | a | t | i | o | n |   | | |   | V | i | d | y | a | s | a | g | a | r |   | U | n | i | v | e | r | s | i | t | y |   | | |   | M | B | A |   | | |   | M | o | h | a | n |   | L | a | l |   | S | u | k | h | a | d | i | a |   | U | n | i | v | e | r | s | i | t | y,,,71,1,0
../DATA/data/ACCOUNTANT/12442909.pdf,12442909.pdf,Accountant,4885,2,"communication, statistics","{""communication"": 1, ""statistics"": 1}","communication, statistics",E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | S | t | r | a | y | e | r |   | U | n | i | v | e | r | s | i | t | y,,,52,1,0
../DATA/data/ACCOUNTANT/12780508.pdf,12780508.pdf,Accountant,7546,2,"communication, excel","{""communication"": 1, ""excel"": 1}","communication, excel",E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | D | e | g | r | e | e |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | M | a | r | y | l | a | n | d,,,63,1,0
../DATA/data/ACCOUNTANT/12802330.pdf,12802330.pdf,Accountant,6465,3,"excel, communication, aws","{""excel"": 2, ""communication"": 1, ""aws"": 1}","excel, communication, aws",E | d | u | c | a | t | i | o | n |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | M | a | r | y | l | a | n | d |   | U | n | i | v | e | r | s | i | t | y |   | C | o | l | l | e | g | e,,,53,1,0
