Filename,Skills,Skills_Count,Education,Marks
10089434.pdf,"azure, c, css, html, java, sql",6,"PowerShell and VBScript | Installing, configuring, and supporting McAfee anti-virus software on servers. | Installing, configuring, and supporting McAfee anti-virus software on desktops. | Bachelor of Science | GPO, HTML, IIS, ISA, LDAP, Linux, McAfee, Exchange, Microsoft Office,",
10247517.pdf,"communication, excel, project management, sql",4,"Possesses an extensive background in Information Technology Management, along with a Masters of Science degree and multiple certifications. | Master of Science | Walden University | Master of Science | Walden University | Bachelor of Science | Walden University",000% | 100% | 30% | 35% | 50% | 60% | 75% | 87%
10265057.pdf,"c, communication, excel, java, python, sql",6,Prioritize and extract big data from Purdue University's SQL database and maintain its accuracy and completeness - Develop and | PURDUE UNIVERSITY,"GPA:
3.9 | GPA: 3.2 | GPA: 3.9"
10553553.pdf,"communication, sql",2,College of Education Computer Technician | Master of Science | DePaul University | Bachelor of Science | DeVry University,
10641230.pdf,"css, html, java, javascript, project management",5,High School Diploma,
10839851.pdf,,0,"Diplomatic Security Service for the Department of State Protected U.S. | diplomats while visiting foreign dignitaries for diplomatic missions Maintained security awareness in a federal environment Assisted in | employee management Interacted with VIP personnel such as members of the Senate, foreign and domestic diplomats, and the Secretary of",
10840430.pdf,"c, communication, project management",3,support Geographic Combatant Commanders' intent. | Sul Ross University | Morgan State University,
11580408.pdf,"c, communication, sql",3,Curry College | Bachelor of Arts | Awards: Who's Who Among Students in American Universities and Colleges Outstanding Young Men of America United States,
11584809.pdf,"communication, project management",2,Master of Science | University of Houston | Bachelor of Science | University of Maryland University College,
11957080.pdf,"communication, data analysis, excel, html, sql",5,"Known for approachability, diplomacy and patience in dealing with frustrated users. | Degree programs and computer labs resulting in time and cost savings for the department. | Designed and maintained database of 8 years of graduating students following their degree programs and certificates. | Maintained and updated Butte College, Business Education Website. | California State University",98%
12045067.pdf,c,1,Created the project integrated master schedule (IMS) to identify and manage resources so that all project documentation and deliverables | Bachelor of Science (BS) | University of | College | AGS Cochise College,GPA: 3.67 | GPA: 4.0
12334140.pdf,communication,1,Shippensburg University of Pennsylvania | John L. Grove College of Business | Harrisburg Area Community College,GPA: 3.11
12635195.pdf,"c, data analysis, java, javascript, project management, python",6,Master of Science | Murray State University | Master of Arts | Murray State University | Bachelor of Science | Murray State University | Cum Laude - Murray State University,GPA: 3.69
12763627.pdf,"c, communication, css, html, javascript, sql",6,"Indiana University | Masters | Indiana University - Bloomington Masters in Computer Science, August 2014 - December 2015 | Jawaharlal Nehru Technological University | Bachelor of Technology | University, Andhra Pradesh, India Bachelor of Technology in Computer Science and Engineering, September 2007 - May 2011.",GPA: 3.55
13385306.pdf,"c, project management, sql, tableau",4,Master of Business Administration (MBA) | Suffolk University - Sawyer School of | Bachelor of Arts (BA),
13405733.pdf,"communication, excel, project management, python, sql",5,Master of Science | Western Governors University | Bachelor of Science | University Of South Carolina - Columbia,12% | 15% | 18% | 30% | 40%
13477922.pdf,,0,College Virginia Commonwealth University | George Mason University | Commonwealth University,GPA: 3.4
13836471.pdf,sql,1,,
14789139.pdf,"communication, project management, sql",3,"MCA/Universal - Managed the implementation of a solution to load and track contracts for MCA's clients and vendors (actors, etc). | MBA | Pepperdine University | Loyola Marymount University",
15118506.pdf,"communication, project management",2,Bachelor of Science | Cardinal Stritch University,50%
15297298.pdf,"communication, excel, project management",3,"Strategic, motivational, and solutions-focused leader with an MBA and with extensive experience in analyzing systems/processes and implementing | Master of Business Administration (MBA) | Bachelor of Science | DeVry University | Cisco Certified Network Associate (CCNA/CCAI) Leadership Training ITIL Foundations Certification Sniffer University - Sniffer Distributed",
15651486.pdf,sql,1,,15% | 45%
15791766.pdf,"communication, project management",2,Master of Science | Colorado Technical University | Bachelor of Science | University of Phoenix,40% | GPA: 3.35 | GPA: 3.53
15802627.pdf,,0,"Bachelor of Arts | State University of New York at Stony Brook | Bachelor of Arts - Sociology Bachelor of Science - Biochemistry Associates - Geography State University of New York at Stony Brook, Stony",43%
16186411.pdf,"c, css, excel, html, java, javascript, sql",7,"Based Authentication and Role-Based Authorization. Involved in bug fixes and production support. Worked closely with Scrum Master for | (ADN), DoIT which supports University of Missouri System faculty and students through agile and rapid creation of new applications. | Updated the entire application by using new Visual Studio 2013 template which make use of Bootstrap CSS by changing the master pages. | AppInventory: Description: The goal of the project to allow the admins, managers, scrum masters of the organization to keep track various | Scrum Masters can estimate the length and cost to build the application (Project Estimator) based on number of developers, Sprint length, | GoAdmin: Description: GoMizzou is the University of Missouri flagship mobile application, designed to provide services to all possible users | of the university. | The goal of this project is to allow GoMizzou Staff to edit the master tables involved with the GoMizzou webservices. | These master tables are the starting point for all window services (which feed the web services). | ASP.Net server controls like listview, formview, worked on Clientside and Server side Validations and created Master Pages. | Master of Science | University of Missouri | Bachelor of Technology | Jawaharlal Nehru Technological University",GPA: 3.65 | GPA: 3.7
16533554.pdf,"communication, project management",2,"Win fax; McAfee Virus Scan, Adobe:Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â Acrobat, Illustrator, Photoshop, Partition Magic, Adware,Â  Â  Â  Â | Implemented Server and Desktop security using Mcafee Enterprise and ePolicy Orchestrator.Â | Bachelor of Science | University of Maryland University College",40% | 60%
16899268.pdf,"communication, data analysis, project management",3,"Analyze the technology needs of the Graduate College, to develop short term and long term goals and to meet and implement the solutions to those | software.Â  Supervise and manage the composition of the Graduate College information technology team focusing on balancing technology skills | Led the Graduate College IT team for over eight years | Appointed to Iowa State University's Paperless Task force to represent the Graduate College | Led strategic initiates for the Graduate College for past three years | Iowa State University | Iowa State University | solution at Iowa State University. l Published paper at International Academy of Technology Education, and Development (IATED) conference: | Empowering Departments Across the University by Using Web Technologies Â​ 2",
17111768.pdf,"communication, project management, sql",3,Shippensburg University | Master of Science | Millersville University | Bachelor of Arts | Defense Acquisition University: Developing a Systems Engineering Plan | Defense Acquisition University: DISA Information Systems Engineering Seminar (ISES) | Defense Acquisition University: Engineering Management Workshop (EMW) | Defense Acquisition University: Fundamentals of System Acquisition Management,
17641670.pdf,"communication, excel, html, project management",4,"University of San Diego extension,",
17681064.pdf,"c, project management",2,"Accomplished IT Technologist with a strong Business acumen, including an MBA Degree | MBA Degree | M.B.A., Masters | Adelphi University | State University of New York",93% | 99%
17688766.pdf,"communication, sql",2,Baruch College,
17987433.pdf,,0,"GOLD MEDAL for securing highest marks in Master of Pharmacy, JSS College of Pharmacy. | Participated in ""Indo-European Symposium on Alternative Approaches to Animal Testing"" on Dec.8, 2010 at JSS College of Pharmacy, | Participated in ""national workshop on potentials of medicinal plants of Nilgiri Biosphere reserve"" on December 8-10th, 2011 at JSS College | Master of Pharmacy | JSS College of Pharmacy | Bachelor of Pharmacy | Kakatiya University",
18067556.pdf,"aws, azure, css, data analysis, excel, html, project management, python, sql, tableau",10,"MASTER DATA MANAGER | Master Data Manager | Aligning 100+ supply chain-related master data attributes to ensure the following guidelines are met:. | documentation for all master data fields. | master data. | Data Governance Committee - Oversee executive strategy in institutional master data to commit to trusted, accurate, structured | meaningful master data. | Master Data Manager | Aligning 100+ supply chain-related master data attributes to ensure the following guidelines are met:. | documentation for all master data fields. | master data. | Data Governance Committee - Oversee executive strategy in institutional master data to commit to trusted, accurate, structured | meaningful master data. | Bachelor of Science | Rowan College | Rowan University",40% | 50%
18159866.pdf,project management,1,University of Texas at El Paso,20%
18176523.pdf,sql,1,Bachelor of Science | East Carolina University | University of Phoenix/WIU,
18187364.pdf,"c, sql",2,Building automated database risk/security models for quantifying degrees of database risk and enabling the standardization and prioritization | Master of Science | College of Saint Rose | Bachelor of Arts,60% | 80%
18301617.pdf,"communication, project management, sql",3,Bachelor of Science | University of Phoenix | American River College,80%
18752129.pdf,c,1,"I am doing Early Childhood Education course to pursue the career in education field towards associate teacher degree especially with | B.E | Folsom Lake College | Karunya Institute of Technology, Coimbatore. H.S.C",
19201175.pdf,communication,1,Unitek College - Fremont,
19796840.pdf,"communication, sql",2,University of Houston,
19850482.pdf,project management,1,Montclair State University,
20001721.pdf,"excel, sql",2,SAN DIEGO STATE UNIVERSITY | Bachelor of Arts,
20024870.pdf,"c, excel, html, java, sql",5,"MBA graduate specialized at a Business Management of the industries institution which crosses the fields such as healthcare, and IT to compare | Metropolitan State University | MBA | Master of Business Administration (MBA)Â | National Taipei University of Nursing and Health Science | Bachelor of Science | Bachelors of Information Management",25% | GPA 3.4 | GPA 3.7
20237244.pdf,,0,Park University | Bachelor of Science,
20408458.pdf,communication,1,"Bachelor of Science | University of Phoenix Oct | Southern College | Diploma | MILITARY 1989-1998 US ARMY Missouri / Florida MOS-12B (Combat Engineer) combat ready, earned",
20674668.pdf,"c, css, html, java, javascript, python, sql",7,"Drupal, Apache Struts, Apache, Tomcat | â€¢ Providing support and assistance to webmasters to publish and update content to the NYSED's websites. | â€¢ Providing expert guidance to the NYSED program offices and the webmasters related to the website accessibility standards and compliance. | City College of New York of the City University of New York, The | Bachelor of Science",
20824105.pdf,"aws, c, communication, python",4,"Designed and implemented a prototype illustrating a client-server model for hosting WebServer (Apache2), master and slave. | Designed and implemented a prototype illustrating a client-server model for hosting WebServer (Apache2), master and slave. | Master of Science | Northeastern University, Solapur University | Bachelor of Engineering",30%
20879311.pdf,"node, project management, sql",3,Bachelor of Science | Rutgers University,
21283365.pdf,"communication, project management",2,"Fullerton Masters of Science Degree | Mihaylo College of Business and Economics, California State University | Bachelors of Science Degree | University of Phoenix",GPA: 3.4 | GPA: 3.7
21780877.pdf,project management,1,HS Diploma | BS Degree | University of TN,
22450718.pdf,"communication, excel",2,Bachelors of Science | Prairie View A&M University,100% | 15%
22776912.pdf,"c, sql",2,Western Oregon University | Belford University | Portland Community College,
23527321.pdf,communication,1,Master of Business Administration | University of Maryland | Master of Science | Bachelor of Science,
23666211.pdf,,0,"Master Black Belt Instructor | Bachelor of Arts (Equivalent) | University of the South | Coleman University | Leadership Development Program, Tracy's Karate Studio Master Black Belt Association, American Kenpo Karate Association.",
23864648.pdf,"c, project management",2,Bachelor of Science | TROY STATE UNIVERSITY | Community College of the Air Force,15%
24020470.pdf,,0,Ashworth College | Ashworth College,100%
24038620.pdf,project management,1,Associate's Degree | HARRISBURG AREA COMMUNITY COLLEGE | Associate's Degree | MBA | ELIZABETHTOWN COLLEGE,
24083609.pdf,,0,Richard Bland College,
24230851.pdf,"communication, excel",2,Eastern Kentucky University,
24889109.pdf,,0,"Directory domains for over 50 SIPR/NIPR IS and VOIP subscribers in hostile combat operations Windows 7 integration of over 520 systems | Cable installer and maintainer for multiple Army posts in Stuttgart, Germany including 6 months in a combat zone in Africa.",
24913648.pdf,"c, communication",2,"Bachelor of Science | Jacksonville University | Team lead, managing, McAfee, access, Microsoft Exchange, MS Office products, Microsoft Office Suite, Windows 7, Win9, Windows 2000,",
25207620.pdf,communication,1,Computer Career College - | City University of New York - CIS | Rollins College | Hofstra College,
25857360.pdf,"communication, excel",2,Southwest Virginia Community College,
25905275.pdf,"communication, excel, project management",3,"$28,000 per year Supervisor: Tony Cata The infantry is the main land combat force | Perform as a member of a fire team during drills and combat Aid in the mobilization of vehicles, troops and weaponry Assist in | reconnaissance missions Process prisoners of war and captured documents Use, maintain and store combat weapons (e.g., rifles, machine | DeVry University | Bachelors of College of Business Management",30% | GPA: 3.0
25959103.pdf,sql,1,AMERICAN MILITARY UNIVERSITY | Master of Arts | AIR FORCE AIR COMMAND AND STAFF COLLEGE | MARYMOUNT UNIVERSITY | Master | MARYMOUNT UNIVERSITY | Bachelor of Science | MCAFEE,
25990239.pdf,"data analysis, excel, html, project management",4,"Masters of Education | Doctorate of Education; Higher Education, Ed.d ...........................Concordia University | M.Ed. ............................. Western Governor's University | Bachelor of Science | Western Governor's University | Utah Valley University",
26480367.pdf,"c, html, project management, python",4,Bachelor of Science | National American University | Associate/Degree | Robeson Community College,
26746496.pdf,"c, css, excel, html, java, javascript, sql",7,"validations. Involved in bug fixes and production support. Worked closely with Scrum Master for backlog catalogs, feature catalogs and prioritized | DoIT which supports University of Missouri System faculty and students through agile and rapid creation of new applications. | Updated the entire application by using new Visual Studio 2013 template which make use of Bootstrap CSS by changing the master pages. | The goal of the project to allow the admins, managers, scrum masters of the organization to keep track various applications which includes their | platforms, framework used to develop application, UAT dates etc. Scrum Masters can estimate the length and cost to build the application | GoMizzou is the University of Missouri flagship mobile application, designed to provide services to all possible users of the university. The goal of | this project is to allow GoMizzou Staff to edit the master tables involved with the GoMizzou webservices. These master tables are the starting | Server side Validations and created Master Pages. | Master of Science | University of Missouri | Bachelor of Technology | Jawaharlal Nehru Technological University",GPA: 3.65 | GPA: 3.7
26768723.pdf,css,1,Bachelor of Science | University of Wisconsin | Waukesha County Technical College,
